REF_DATE,province,rent_amount
1987,Alberta,382.0
1987,British Columbia,272.74074074074076
1987,Manitoba,378.46153846153845
1987,New Brunswick,338.52941176470586
1987,Newfoundland and Labrador,393.5
1987,Northwest Territories,
1987,Nova Scotia,356.2142857142857
1987,Ontario,346.72463768115944
1987,Ontario/Quebec,443.3333333333333
1987,Prince Edward Island,384.5
1987,Quebec,264.0
1987,Saskatchewan,338.57142857142856
1987,Yukon,
1988,Alberta,374.0
1988,British Columbia,287.38823529411764
1988,Manitoba,390.27272727272725
1988,New Brunswick,348.0
1988,Newfoundland and Labrador,387.42857142857144
1988,Northwest Territories,
1988,Nova Scotia,374.45454545454544
1988,Ontario,365.297520661157
1988,Ontario/Quebec,461.6666666666667
1988,Prince Edward Island,364.8333333333333
1988,Quebec,270.4117647058824
1988,Saskatchewan,346.2916666666667
1988,Yukon,
1989,Alberta,391.15384615384613
1989,British Columbia,306.85714285714283
1989,Manitoba,403.72727272727275
1989,New Brunswick,349.6666666666667
1989,Newfoundland and Labrador,398.22222222222223
1989,Northwest Territories,
1989,Nova Scotia,388.45454545454544
1989,Ontario,387.515873015873
1989,Ontario/Quebec,479.0
1989,Prince Edward Island,376.6666666666667
1989,Quebec,285.28846153846155
1989,Saskatchewan,347.17391304347825
1989,Yukon,
1990,Alberta,398.44444444444446
1990,British Columbia,340.01190476190476
1990,Manitoba,407.8181818181818
1990,New Brunswick,363.26666666666665
1990,Newfoundland and Labrador,405.54545454545456
1990,Northwest Territories,
1990,Nova Scotia,391.9166666666667
1990,Ontario,406.53125
1990,Ontario/Quebec,505.0
1990,Prince Edward Island,378.6666666666667
1990,Quebec,295.787037037037
1990,Saskatchewan,341.2083333333333
1990,Yukon,
1991,Alberta,411.25925925925924
1991,British Columbia,364.0344827586207
1991,Manitoba,435.4
1991,New Brunswick,378.2
1991,Newfoundland and Labrador,408.9166666666667
1991,Northwest Territories,
1991,Nova Scotia,417.6363636363636
1991,Ontario,429.73333333333335
1991,Ontario/Quebec,534.6666666666666
1991,Prince Edward Island,381.5
1991,Quebec,308.58490566037733
1991,Saskatchewan,350.75
1991,Yukon,
1992,Alberta,414.5
1992,British Columbia,426.07251908396944
1992,Manitoba,431.0857142857143
1992,New Brunswick,378.9111111111111
1992,Newfoundland and Labrador,412.1142857142857
1992,Northwest Territories,
1992,Nova Scotia,410.06
1992,Ontario,470.8668407310705
1992,Ontario/Quebec,566.3
1992,Prince Edward Island,391.5263157894737
1992,Quebec,328.0691823899371
1992,Saskatchewan,355.0853658536585
1992,Yukon,
1993,Alberta,420.8484848484849
1993,British Columbia,440.234126984127
1993,Manitoba,439.6363636363636
1993,New Brunswick,384.1276595744681
1993,Newfoundland and Labrador,413.4054054054054
1993,Northwest Territories,
1993,Nova Scotia,420.5111111111111
1993,Ontario,481.5925
1993,Ontario/Quebec,581.6363636363636
1993,Prince Edward Island,400.94736842105266
1993,Quebec,330.95297805642633
1993,Saskatchewan,358.609756097561
1993,Yukon,
1994,Alberta,415.42452830188677
1994,British Columbia,457.73929961089493
1994,Manitoba,439.05882352941177
1994,New Brunswick,391.67391304347825
1994,Newfoundland and Labrador,420.9142857142857
1994,Northwest Territories,
1994,Nova Scotia,420.3541666666667
1994,Ontario,494.1162790697674
1994,Ontario/Quebec,582.3636363636364
1994,Prince Edward Island,404.5263157894737
1994,Quebec,332.36875
1994,Saskatchewan,361.9367088607595
1994,Yukon,
1995,Alberta,420.6111111111111
1995,British Columbia,470.00766283524905
1995,Manitoba,441.70588235294116
1995,New Brunswick,398.0
1995,Newfoundland and Labrador,415.7241379310345
1995,Northwest Territories,
1995,Nova Scotia,424.7659574468085
1995,Ontario,494.76296296296294
1995,Ontario/Quebec,573.9166666666666
1995,Prince Edward Island,412.3333333333333
1995,Quebec,335.63375796178343
1995,Saskatchewan,364.65060240963857
1995,Yukon,
1996,Alberta,426.32380952380953
1996,British Columbia,473.109375
1996,Manitoba,444.97058823529414
1996,New Brunswick,401.5531914893617
1996,Newfoundland and Labrador,424.47058823529414
1996,Northwest Territories,
1996,Nova Scotia,432.8
1996,Ontario,500.74937965260546
1996,Ontario/Quebec,594.2
1996,Prince Edward Island,413.3888888888889
1996,Quebec,339.8993710691824
1996,Saskatchewan,369.90361445783134
1996,Yukon,
1997,Alberta,443.03921568627453
1997,British Columbia,478.20472440944883
1997,Manitoba,449.81081081081084
1997,New Brunswick,405.6808510638298
1997,Newfoundland and Labrador,424.1470588235294
1997,Northwest Territories,
1997,Nova Scotia,433.95652173913044
1997,Ontario,508.09223300970876
1997,Ontario/Quebec,583.6363636363636
1997,Prince Edward Island,434.8125
1997,Quebec,343.98107255520506
1997,Saskatchewan,382.225
1997,Yukon,
1998,Alberta,471.8363636363636
1998,British Columbia,473.25482625482624
1998,Manitoba,458.02777777777777
1998,New Brunswick,398.6
1998,Newfoundland and Labrador,420.3142857142857
1998,Northwest Territories,837.0
1998,Nova Scotia,443.4347826086956
1998,Ontario,521.3401534526854
1998,Ontario/Quebec,582.0
1998,Prince Edward Island,449.4
1998,Quebec,347.1758957654723
1998,Saskatchewan,387.2716049382716
1998,Yukon,
1999,Alberta,477.7027027027027
1999,British Columbia,467.85227272727275
1999,Manitoba,455.44117647058823
1999,New Brunswick,412.92857142857144
1999,Newfoundland and Labrador,425.6666666666667
1999,Northwest Territories,818.3333333333334
1999,Nova Scotia,451.9782608695652
1999,Ontario,527.2151589242054
1999,Ontario/Quebec,601.1666666666666
1999,Prince Edward Island,436.94444444444446
1999,Quebec,348.75079872204475
1999,Saskatchewan,394.60714285714283
1999,Yukon,
2000,Alberta,524.3627450980392
2000,British Columbia,465.57677902621725
2000,Manitoba,454.27027027027026
2000,New Brunswick,422.4807692307692
2000,Newfoundland and Labrador,439.53333333333336
2000,Northwest Territories,839.2222222222222
2000,Nova Scotia,468.02272727272725
2000,Ontario,537.6501240694789
2000,Ontario/Quebec,682.6363636363636
2000,Prince Edward Island,451.8
2000,Quebec,351.44761904761907
2000,Saskatchewan,398.01162790697674
2000,Yukon,
2001,Alberta,558.5925925925926
2001,British Columbia,473.6078431372549
2001,Manitoba,476.29411764705884
2001,New Brunswick,427.23214285714283
2001,Newfoundland and Labrador,450.03125
2001,Northwest Territories,915.0
2001,Nova Scotia,474.69767441860466
2001,Ontario,550.2506024096385
2001,Ontario/Quebec,737.8
2001,Prince Edward Island,452.8421052631579
2001,Quebec,356.3333333333333
2001,Saskatchewan,412.7317073170732
2001,Yukon,
2002,Alberta,582.0188679245283
2002,British Columbia,496.5
2002,Manitoba,475.2368421052632
2002,New Brunswick,439.4561403508772
2002,Newfoundland and Labrador,448.5151515151515
2002,Northwest Territories,972.4444444444445
2002,Nova Scotia,483.84090909090907
2002,Ontario,581.8527131782946
2002,Ontario/Quebec,745.3
2002,Prince Edward Island,466.57894736842104
2002,Quebec,375.4185303514377
2002,Saskatchewan,419.075
2002,Yukon,
2003,Alberta,595.5196078431372
2003,British Columbia,508.42436974789916
2003,Manitoba,503.3125
2003,New Brunswick,439.76363636363635
2003,Newfoundland and Labrador,500.1363636363636
2003,Northwest Territories,1060.9
2003,Nova Scotia,505.7173913043478
2003,Ontario,600.6175637393768
2003,Ontario/Quebec,744.5454545454545
2003,Prince Edward Island,472.44444444444446
2003,Quebec,389.1067615658363
2003,Saskatchewan,422.77777777777777
2003,Yukon,
2004,Alberta,607.1165048543689
2004,British Columbia,518.7100840336135
2004,Manitoba,509.65714285714284
2004,New Brunswick,464.18518518518516
2004,Newfoundland and Labrador,465.1081081081081
2004,Northwest Territories,1076.1
2004,Nova Scotia,513.5
2004,Ontario,619.7810650887574
2004,Ontario/Quebec,737.5833333333334
2004,Prince Edward Island,490.94736842105266
2004,Quebec,395.3593220338983
2004,Saskatchewan,427.4146341463415
2004,Yukon,
2005,Alberta,641.3786407766991
2005,British Columbia,535.716
2005,Manitoba,504.8974358974359
2005,New Brunswick,470.74545454545455
2005,Newfoundland and Labrador,481.2352941176471
2005,Northwest Territories,1089.1
2005,Nova Scotia,538.3260869565217
2005,Ontario,633.5232558139535
2005,Ontario/Quebec,733.0833333333334
2005,Prince Edward Island,513.05
2005,Quebec,406.7448979591837
2005,Saskatchewan,437.578313253012
2005,Yukon,
2006,Alberta,702.4363636363636
2006,British Columbia,559.8333333333334
2006,Manitoba,512.2142857142857
2006,New Brunswick,481.82456140350877
2006,Newfoundland and Labrador,502.1
2006,Northwest Territories,1132.0
2006,Nova Scotia,550.08
2006,Ontario,630.3525179856115
2006,Ontario/Quebec,751.9090909090909
2006,Prince Edward Island,518.3809523809524
2006,Quebec,410.64506172839504
2006,Saskatchewan,453.76190476190476
2006,Yukon,
2007,Alberta,799.7355371900826
2007,British Columbia,594.2830188679245
2007,Manitoba,532.219512195122
2007,New Brunswick,491.719298245614
2007,Newfoundland and Labrador,490.8
2007,Northwest Territories,1139.9
2007,Nova Scotia,562.8823529411765
2007,Ontario,639.6680672268908
2007,Ontario/Quebec,769.0909090909091
2007,Prince Edward Island,529.047619047619
2007,Quebec,421.1775700934579
2007,Saskatchewan,484.4761904761905
2007,Yukon,
2008,Alberta,842.695652173913
2008,British Columbia,627.9889705882352
2008,Manitoba,532.76
2008,New Brunswick,501.280701754386
2008,Newfoundland and Labrador,532.448275862069
2008,Northwest Territories,1175.4
2008,Nova Scotia,577.2678571428571
2008,Ontario,653.1195445920304
2008,Ontario/Quebec,800.1818181818181
2008,Prince Edward Island,544.0
2008,Quebec,435.7353760445682
2008,Saskatchewan,551.564705882353
2008,Yukon,
2009,Alberta,826.7553956834532
2009,British Columbia,640.3978102189781
2009,Manitoba,559.3125
2009,New Brunswick,519.8771929824561
2009,Newfoundland and Labrador,538.258064516129
2009,Northwest Territories,1240.2
2009,Nova Scotia,598.9137931034483
2009,Ontario,669.2375478927203
2009,Ontario/Quebec,827.5454545454545
2009,Prince Edward Island,568.7
2009,Quebec,445.5464480874317
2009,Saskatchewan,607.0588235294117
2009,Yukon,
2010,Alberta,827.1798561151079
2010,British Columbia,656.1407407407407
2010,Manitoba,593.2
2010,New Brunswick,528.3859649122807
2010,Newfoundland and Labrador,573.7586206896551
2010,Northwest Territories,1266.6
2010,Nova Scotia,612.55
2010,Ontario,684.9277566539924
2010,Ontario/Quebec,853.0909090909091
2010,Prince Edward Island,596.4
2010,Quebec,460.95316804407713
2010,Saskatchewan,647.7142857142857
2010,Yukon,
2011,Alberta,820.2867132867133
2011,British Columbia,673.7881040892194
2011,Manitoba,609.7083333333334
2011,New Brunswick,542.859649122807
2011,Newfoundland and Labrador,600.5172413793103
2011,Northwest Territories,1316.888888888889
2011,Nova Scotia,630.5932203389831
2011,Ontario,697.9695817490494
2011,Ontario/Quebec,873.0
2011,Prince Edward Island,602.6
2011,Quebec,470.96730245231606
2011,Saskatchewan,689.8941176470588
2011,Yukon,
2012,Alberta,858.3916083916084
2012,British Columbia,689.4478764478764
2012,Manitoba,639.622641509434
2012,New Brunswick,555.2105263157895
2012,Newfoundland and Labrador,619.3055555555555
2012,Northwest Territories,1383.3
2012,Nova Scotia,640.9032258064516
2012,Ontario,718.5692307692308
2012,Ontario/Quebec,891.9090909090909
2012,Prince Edward Island,633.3
2012,Quebec,472.1917808219178
2012,Saskatchewan,733.4235294117647
2012,Yukon,
2013,Alberta,904.115107913669
2013,British Columbia,704.207171314741
2013,Manitoba,676.5714285714286
2013,New Brunswick,569.3859649122807
2013,Newfoundland and Labrador,654.0833333333334
2013,Northwest Territories,1410.1
2013,Nova Scotia,670.4193548387096
2013,Ontario,732.4367816091954
2013,Ontario/Quebec,903.9090909090909
2013,Prince Edward Island,648.85
2013,Quebec,481.2628571428571
2013,Saskatchewan,763.9047619047619
2013,Yukon,
2014,Alberta,957.4861111111111
2014,British Columbia,720.6335877862596
2014,Manitoba,688.8148148148148
2014,New Brunswick,576.0689655172414
2014,Newfoundland and Labrador,677.1944444444445
2014,Northwest Territories,1421.4
2014,Nova Scotia,658.0579710144928
2014,Ontario,749.9163424124514
2014,Ontario/Quebec,911.3636363636364
2014,Prince Edward Island,647.4761904761905
2014,Quebec,491.33698630136985
2014,Saskatchewan,796.25
2014,Yukon,
2015,Alberta,948.9640287769785
2015,British Columbia,747.7076923076924
2015,Manitoba,715.3584905660377
2015,New Brunswick,591.2666666666667
2015,Newfoundland and Labrador,692.4857142857143
2015,Northwest Territories,1426.8
2015,Nova Scotia,684.0
2015,Ontario,773.9184890656063
2015,Ontario/Quebec,938.9090909090909
2015,Prince Edward Island,659.3181818181819
2015,Quebec,498.75206611570246
2015,Saskatchewan,797.5783132530121
2015,Yukon,
2016,Alberta,904.4244604316547
2016,British Columbia,767.1158301158301
2016,Manitoba,727.2692307692307
2016,New Brunswick,612.2456140350877
2016,Newfoundland and Labrador,702.3055555555555
2016,Northwest Territories,1398.3333333333333
2016,Nova Scotia,711.9571428571429
2016,Ontario,793.8882235528943
2016,Ontario/Quebec,938.9090909090909
2016,Prince Edward Island,679.0952380952381
2016,Quebec,507.13698630136986
2016,Saskatchewan,790.6144578313254
2016,Yukon,
2017,Alberta,910.4347826086956
2017,British Columbia,807.3503937007874
2017,Manitoba,751.06
2017,New Brunswick,611.7368421052631
2017,Newfoundland and Labrador,700.3055555555555
2017,Northwest Territories,1426.888888888889
2017,Nova Scotia,709.2753623188406
2017,Ontario,824.9917695473251
2017,Ontario/Quebec,972.3636363636364
2017,Prince Edward Island,709.0
2017,Quebec,516.8739002932551
2017,Saskatchewan,802.0121951219512
2017,Yukon,
2018,Alberta,928.3428571428572
2018,British Columbia,854.1225296442688
2018,Manitoba,777.9454545454546
2018,New Brunswick,643.25
2018,Newfoundland and Labrador,708.5277777777778
2018,Northwest Territories,1442.6666666666667
2018,Nova Scotia,738.3125
2018,Ontario,863.5443037974684
2018,Ontario/Quebec,1013.5454545454545
2018,Prince Edward Island,771.7727272727273
2018,Quebec,526.1538461538462
2018,Saskatchewan,807.6666666666666
2018,Yukon,
2019,Alberta,955.5
2019,British Columbia,900.0627450980393
2019,Manitoba,808.7777777777778
2019,New Brunswick,661.6428571428571
2019,Newfoundland and Labrador,729.3055555555555
2019,Northwest Territories,1496.4444444444443
2019,Nova Scotia,769.203125
2019,Ontario,909.86875
2019,Ontario/Quebec,1110.6363636363637
2019,Prince Edward Island,769.3181818181819
2019,Quebec,541.149560117302
2019,Saskatchewan,820.5833333333334
2019,Yukon,
2020,Alberta,975.8030303030303
2020,British Columbia,947.05859375
2020,Manitoba,845.1296296296297
2020,New Brunswick,677.2241379310345
2020,Newfoundland and Labrador,742.9428571428572
2020,Northwest Territories,1512.4444444444443
2020,Nova Scotia,674.6184210526316
2020,Ontario,888.0223577235772
2020,Ontario/Quebec,1170.7272727272727
2020,Prince Edward Island,815.421052631579
2020,Quebec,526.1675675675675
2020,Saskatchewan,821.5180722891566
2020,Yukon,
2021,Alberta,986.6041666666666
2021,British Columbia,1013.1513944223108
2021,Manitoba,869.2777777777778
2021,New Brunswick,740.5438596491229
2021,Newfoundland and Labrador,752.5
2021,Northwest Territories,1532.6666666666667
2021,Nova Scotia,706.027397260274
2021,Ontario,941.9399141630902
2021,Ontario/Quebec,1222.3636363636363
2021,Prince Edward Island,842.3684210526316
2021,Quebec,547.4547945205479
2021,Saskatchewan,838.6385542168674
2021,Yukon,
2022,Alberta,1053.923076923077
2022,British Columbia,1117.3541666666667
2022,Manitoba,908.0188679245283
2022,New Brunswick,812.3333333333334
2022,Newfoundland and Labrador,791.7142857142857
2022,Northwest Territories,1557.4444444444443
2022,Nova Scotia,725.1267605633802
2022,Ontario,999.5119825708061
2022,Ontario/Quebec,1315.2727272727273
2022,Prince Edward Island,885.5
2022,Quebec,589.2513661202186
2022,Saskatchewan,877.1176470588235
2022,Yukon,
2023,Alberta,1065.8766233766235
2023,British Columbia,1215.3895582329317
2023,Manitoba,928.9423076923077
2023,New Brunswick,935.5416666666666
2023,Newfoundland and Labrador,621.9555555555555
2023,Northwest Territories,1601.5555555555557
2023,Nova Scotia,633.8108108108108
2023,Ontario,1031.6521739130435
2023,Ontario/Quebec,1349.4545454545455
2023,Prince Edward Island,896.8421052631579
2023,Quebec,616.8082191780821
2023,Saskatchewan,938.3690476190476
2023,Yukon,
